Código,Município,População,Taxa de alfabetização,PIB,PIB per capita,Renda per capita,Homicídios por 100 mil hab.,Expectativa de vida 2010,IDHM 2010
4306403,Dois Irmãos,30.709,"0,9860789773",2.188.540,"71.267,06",807,"2,98","75,87","0,743"
4306429,Dois Irmãos das Missões,2.090,"0,8916315473",199.194,"95.308,13",483,0,"72,81","0,67"
4306452,Dois Lajeados,3.097,"0,9686081694",172.601,"55.731,68",813,0,"75,19","0,757"
4306502,Dom Feliciano,13.051,"0,9140661172",356.857,"27.343,27",404,"6,42","74,1","0,587"
4306601,Dom Pedrito,36.981,"0,9555731591",2.210.941,"59.785,86",570,"2,61","75,88","0,708"
4306551,Dom Pedro de Alcântara,2.562,"0,9701631702",65.533,"25.578,84",516,0,"74,21","0,691"
4306700,Dona Francisca,3.079,"0,965623793",106.596,"34.620,33",564,0,"74,84","0,697"
4306734,Doutor Maurício Cardoso,4.470,"0,9595130987",260.796,"58.343,62",595,"22,83","75,41","0,706"
4306759,Doutor Ricardo,1.888,"0,9762773723",78.890,"41.784,96",721,0,"76,3","0,724"
4306767,Eldorado do Sul,39.559,"0,9646466277",2.120.258,"53.597,36",597,"30,59","75,66","0,717"
4306809,Encantado,22.962,"0,9704030227",1.168.355,"50.882,11",839,"17,35","76,5","0,767"
4306908,Encruzilhada do Sul,23.819,"0,9275628282",1.080.943,"45.381,54",489,"30,72","77,5","0,657"
4306924,Engenho Velho,1.296,"0,9303030303",73.213,"56.491,51",667,"107,29","74,23","0,717"
4306957,Entre Rios do Sul,2.685,"0,9307107734",207.516,"77.287,15",536,"73,42","76,4","0,703"
4306932,Entre-Ijuís,9.158,"0,9569736842",687.576,"75.079,27",527,"11,97","74,74","0,68"
4306973,Erebango,3.054,"0,951320132",180.478,"59.095,61",581,"67,15","75,24","0,712"
4307005,Erechim,105.705,"0,9785797145",6.882.611,"65.111,50",885,"34,46","74,95","0,776"
4307054,Ernestina,3.034,"0,9747634069",265.548,"87.524,06",601,"31,53","76,25","0,716"
4307203,Erval Grande,4.930,"0,9083087512",150.882,"30.604,87",540,0,"78,12","0,681"
4307302,Erval Seco,6.787,"0,9259326993",353.967,"52.153,68",443,"14,93","74,28","0,685"
4307401,Esmeralda,3.195,"0,9389166347",392.859,"122.960,56",528,"60,77","74,64","0,68"
4307450,Esperança do Sul,3.226,"0,9327217125",116.730,"36.184,13",456,0,"72,25","0,661"
4307500,Espumoso,15.173,"0,9511203253",1.113.102,"73.360,71",720,"6,41","78,04","0,765"
4307559,Estação,5.582,"0,9763263581",350.706,"62.828,02",717,0,"75,55","0,753"
4307609,Estância Velha,47.912,"0,9835645896",1.875.488,"39.144,43",724,"1,94","78,23","0,757"
4307708,Esteio,76.137,"0,9802378482",3.749.878,"49.251,72",799,"14,39","75,57","0,754"
4307807,Estrela,32.183,"0,9796639805",2.171.441,"67.471,68",893,"8,65","75,97","0,767"
4307815,Estrela Velha,3.070,"0,9505582137",197.414,"64.304,23",507,0,"72,5","0,679"
4307831,Eugênio de Castro,2.633,"0,9564240791",405.443,"153.985,19",547,0,"78,11","0,712"
4307864,Fagundes Varela,2.566,"0,9756537421",197.918,"77.130,94",848,0,"76,14","0,763"
4307906,Farroupilha,69.885,"0,9804582674",4.398.447,"62.938,36",890,"14,91","76,68","0,777"
4308003,Faxinal do Soturno,6.702,"0,9660271079",270.105,"40.302,15",673,"45,1","76,21","0,72"
4308052,Faxinalzinho,2.520,"0,9191530318",103.166,"40.938,89",438,0,"73,03","0,666"
4308078,Fazenda Vilanova,4.291,"0,9555815313",140.822,"32.817,99",589,0,"75,45","0,698"
4308102,Feliz,13.764,"0,9863769615",589.352,"42.818,37",786,"7,28","75,8","0,75"
4308201,Flores da Cunha,30.892,"0,9786878233",2.538.136,"82.161,60",858,"15,94","75,95","0,754"
4308250,Floriano Peixoto,1.668,"0,9595687332",103.058,"61.785,37",588,0,"76,23","0,663"
4308300,Fontoura Xavier,9.550,"0,8837209302",227.468,"23.818,64",446,"39,28","73,69","0,661"
4308409,Formigueiro,6.413,"0,9183711766",302.799,"47.216,44",481,"15,22","75,3","0,682"
4308433,Forquetinha,2.393,"0,9439386679",58.939,"24.629,75",691,0,"78,13","0,683"
4308458,Fortaleza dos Valos,4.477,"0,9586169344",564.771,"126.149,43",850,"23,51","75,23","0,756"
4308508,Frederico Westphalen,32.627,"0,9662950869",1.430.606,"43.847,30",759,"15,78","75,76","0,76"
4308607,Garibaldi,34.335,"0,9811392449",2.997.963,"87.315,07",967,"8,38","76,35","0,786"
4308656,Garruchos,2.688,"0,9095343681",200.966,"74.764,14",437,"35,07","74,96","0,671"
4308706,Gaurama,5.665,"0,9667211107",282.771,"49.915,45",727,0,"76,09","0,738"
4308805,General Câmara,7.612,"0,9412984527",276.372,"36.307,41",564,"11,99","74,92","0,686"
4308854,Gentil,1.742,"0,9516943043",190.647,"109.441,45",630,0,"76,76","0,733"
4308904,Getúlio Vargas,16.602,"0,9693065007",793.661,"47.805,14",743,0,"75,55","0,746"
4309001,Giruá,16.013,"0,9533824311",1.202.941,"75.122,78",568,"12,71","75,52","0,721"
4309050,Glorinha,7.658,"0,9556165268",461.885,"60.314,05",652,0,"76,54","0,714"
4309100,Gramado,40.134,"0,9851372299",2.658.018,"66.228,58",877,"5,42","76,64","0,764"
4309126,Gramado dos Loureiros,2.014,"0,8612269208",94.579,"46.960,77",462,0,"74,91","0,685"
4309159,Gramado Xavier,3.304,"0,9166046165",109.481,"33.135,90",444,0,"72,5","0,634"
4309209,Gravataí,265.070,"0,9757633323",10.261.618,"38.712,86",663,"11,55","76,74","0,736"
4309258,Guabiju,1.417,"0,9667207792",132.787,"93.709,95",1092,0,"76,4","0,758"
4309308,Guaíba,92.924,"0,9764791433",8.284.804,"89.156,77",648,"18,3","74,99","0,73"
4309407,Guaporé,25.268,"0,9745555609",1.149.050,"45.474,51",850,"15,26","75,22","0,765"
4309506,Guarani das Missões,7.415,"0,9561029528",362.623,"48.903,98",581,"13,52","76,75","0,737"
4309555,Harmonia,5.378,"0,9859594384",245.496,"45.648,20",792,0,"75,47","0,749"
4307104,Herval,6.191,"0,9475878499",253.606,"40.963,66",562,"29,38","75,59","0,687"
4309571,Herveiras,2.526,"0,9209257473",71.142,"28.163,90",449,0,"72,5","0,616"
4309605,Horizontina,18.851,"0,9770298804",2.608.192,"138.358,28",829,"10,28","76,47","0,783"
4309654,Hulha Negra,5.976,"0,9366554054",314.486,"52.624,83",427,0,"72,75","0,643"
4309704,Humaitá,4.681,"0,9695060484",229.248,"48.974,15",724,0,"75,21","0,738"
4309753,Ibarama,3.732,"0,9353816915",112.226,"30.071,28",524,"45,52","72,5","0,652"
4309803,Ibiaçá,4.527,"0,9631062951",367.294,"81.134,08",845,0,"78,28","0,739"
4309902,Ibiraiaras,6.776,"0,9549231041",399.691,"58.986,28",647,0,"75,09","0,724"
4309951,Ibirapuitã,3.723,"0,9285714286",213.521,"57.351,87",502,"25,07","74,66","0,638"
4310009,Ibirubá,21.583,"0,9776918334",1.722.053,"79.787,47",959,"24,42","75,88","0,765"
4310108,Igrejinha,32.808,"0,9757307285",1.888.880,"57.573,76",701,"5,29","77,53","0,721"
4310207,Ijuí,84.726,"0,9707844723",5.190.378,"61.260,75",817,"14,27","76,48","0,781"
4310306,Ilópolis,4.157,"0,9456677152",140.569,"33.815,01",738,0,"76,94","0,73"
4310330,Imbé,26.824,"0,9777471897",626.814,"23.367,66",754,"29,5","75,82","0,764"
4310363,Imigrante,3.080,"0,9809741248",519.189,"168.567,86",853,0,"75,61","0,743"
4310405,Independência,6.427,"0,9547596607",494.164,"76.888,75",599,"16,51","73,8","0,693"
4310413,Inhacorá,2.014,"0,9063063063",110.556,"54.893,74",444,0,"73,43","0,673"
4310439,Ipê,5.325,"0,9545553381",298.581,"56.071,55",700,0,"74,88","0,728"
4310462,Ipiranga do Sul,1.720,"0,9592668024",177.628,"103.272,09",1152,0,"76,94","0,791"
4310504,Iraí,7.482,"0,9195154331",254.491,"34.013,77",494,0,"74,12","0,691"
4310538,Itaara,5.572,"0,96281885",286.658,"51.446,16",778,0,"75,46","0,76"
4310553,Itacurubi,2.995,"0,935964559",246.285,"82.232,05",419,"28,93","73,25","0,657"
4310579,Itapuca,1.937,"0,9130166564",94.234,"48.649,46",480,0,"75,02","0,664"
4310603,Itaqui,35.768,"0,9536519323",2.186.921,"61.141,83",547,"5,35","75,6","0,713"
4310652,Itati,2.638,"0,9349442379",86.738,"32.880,21",480,0,"74,61","0,669"
4310702,Itatiba do Sul,3.208,"0,9483516484",81.706,"25.469,45",481,0,"73,03","0,681"
4310751,Ivorá,1.929,"0,9439528024",71.910,"37.278,38",608,"53,93","78,13","0,724"
4310801,Ivoti,22.983,"0,9832352323",1.180.383,"51.358,96",916,"3,98","75,88","0,784"
4310850,Jaboticaba,3.779,"0,8960127592",136.729,"36.181,26",412,"53,5","74,2","0,658"
4310876,Jacuizinho,2.040,"0,8947368421",224.026,"109.816,67",487,0,"73,99","0,662"
4310900,Jacutinga,3.338,"0,9484055894",232.300,"69.592,57",604,0,"76,3","0,726"
4311007,Jaguarão,26.603,"0,9570813506",1.059.392,"39.822,28",588,"7,59","74,89","0,707"
4311106,Jaguari,10.579,"0,9603200702",378.018,"35.732,87",628,0,"76,93","0,712"
4311122,Jaquirana,3.690,"0,9162695711",94.041,"25.485,37",389,"55,38","71,73","0,614"
4311130,Jari,3.349,"0,9469476744",469.005,"140.043,30",431,"28,8","75,14","0,631"
4311155,Jóia,7.184,"0,9438448567",975.407,"135.774,92",661,0,"75,48","0,686"
4311205,Júlio de Castilhos,18.226,"0,9570116022",1.925.171,"105.627,73",617,"15,65","74,96","0,716"
